2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-46.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-48_2.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-49.jpg'
2025-05-17 14:01:19.988 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-50_1.jpg'
2025-05-17 14:01:19.989 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-50_2.jpg'
2025-05-17 14:01:19.989 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-54_1.jpg'
2025-05-17 14:01:19.989 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-56_1.jpg'
2025-05-17 14:01:19.991 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-58-01_1.jpg'
2025-05-17 14:01:19.991 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-58-01_2.jpg'
2025-05-17 14:01:19.991 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-58-01_3.jpg'
2025-05-17 14:01:19.992 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-58-03_1.jpg'
2025-05-17 14:01:19.992 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-59-53.jpg'
2025-05-17 14:01:19.992 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-59-56.jpg'
2025-05-17 14:01:19.992 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-59-58.jpg'
2025-05-17 14:01:19.992 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-20_3.jpg'
2025-05-17 14:01:19.992 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-23.jpg'
2025-05-17 14:01:19.995 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-33.jpg'
2025-05-17 14:01:19.996 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-33_2.jpg'
2025-05-17 14:01:19.996 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-46_1.jpg'
2025-05-17 14:01:19.997 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-47.jpg'
2025-05-17 14:01:19.997 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-55.jpg'
2025-05-17 14:01:19.997 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-55_2.jpg'
2025-05-17 14:01:19.997 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-56.jpg'
2025-05-17 14:01:19.997 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-00-59.jpg'
2025-05-17 14:01:19.997 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-01-03.jpg'
2025-05-17 14:01:20.002 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-01-03_2.jpg'
2025-05-17 14:01:20.002 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-01-04.jpg'
2025-05-17 14:01:20.002 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-01-04_2.jpg'
2025-05-17 14:01:20.004 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-03-58.jpg'
2025-05-17 14:01:20.004 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-00.jpg'
2025-05-17 14:01:20.004 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-10.jpg'
2025-05-17 14:01:20.005 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-11_2.jpg'
2025-05-17 14:01:20.005 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-14.jpg'
2025-05-17 14:01:20.006 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-22.jpg'
2025-05-17 14:01:20.006 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-25_1.jpg'
2025-05-17 14:01:20.006 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-26.jpg'
2025-05-17 14:01:20.007 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-26_1.jpg'
2025-05-17 14:01:20.007 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-27.jpg'
2025-05-17 14:01:20.008 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-29.jpg'
2025-05-17 14:01:20.008 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-32_2.jpg'
2025-05-17 14:01:20.008 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-34_1.jpg'
2025-05-17 14:01:20.009 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-35.jpg'
2025-05-17 14:01:20.009 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-43_1.jpg'
2025-05-17 14:01:20.009 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-48_3.jpg'
2025-05-17 14:01:20.012 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-55.jpg'
2025-05-17 14:01:20.012 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-04-55_2.jpg'
2025-05-17 14:01:20.012 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-06-25.jpg'
2025-05-17 14:01:20.013 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-06-30.jpg'
2025-05-17 14:01:20.013 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-06-31_1.jpg'
2025-05-17 14:01:20.014 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-06-39_2.jpg'
2025-05-17 14:01:20.014 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-16-06-40.jpg'
2025-05-17 14:01:20.014 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/RABBIT HILL-LANDAL.HOLLND.NOV06.jpg'
2025-05-17 14:01:20.014 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/RACHENBERG FALLS.MERINGEN.SWITZ.2004.jpg'
2025-05-17 14:01:20.014 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/RIVER AT LONE CREEK E.TVL.15-05-07.jpg'
2025-05-17 14:01:20.019 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/ROCKFACE FALLS-1991.jpg'
2025-05-17 14:01:20.019 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/SCENE FROM MURREN.2004.jpg'
2025-05-17 14:01:20.021 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/SNOW ON HERMON-1992.jpg'
2025-05-17 14:01:20.021 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/TANUR FALLS-1991.jpg'
2025-05-17 14:01:20.022 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/WANDELING PARK HOLL.OCT2006 001.jpg'
2025-05-17 14:01:20.022 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/WATERVAL BOVEN.E.TVL.S.A.1964..jpg'
2025-05-17 14:01:20.023 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/WATERVALBOVEN.E.TVL.S.A..jpg'
2025-05-17 14:03:38.512 | INFO     | image_to_text:__init__:17 - Image to text model initialized
2025-05-17 14:03:42.495 | INFO     | image_to_text:image_to_text:38 - Generated caption: a painting of a waterfall in the woods
2025-05-17 14:03:42.496 | INFO     | image_to_text:update_paintings_json:60 - Paintings json updated
2025-05-17 14:03:44.765 | INFO     | image_to_text:image_to_text:38 - Generated caption: a painting of a river in the mountains
2025-05-17 14:03:44.768 | INFO     | image_to_text:update_paintings_json:60 - Paintings json updated
2025-05-17 14:03:47.040 | INFO     | image_to_text:image_to_text:38 - Generated caption: a painting of a waterfall in the woods
2025-05-17 14:03:47.040 | INFO     | image_to_text:update_paintings_json:60 - Paintings json updated
